call_id,start_sec,system_text,human_text,text_similarity,combined_score,system_role,human_role,label_correct,matched,text_override,override_phrase,status
center_english,0.0,Thank you for calling Global Connect Premium Support.,Thank you for calling Global Connect Premium Support. My name is Marcus. To whom,0.606,0.763,Agent,Agent,True,True,False,,✅ CORRECT
center_english,3.7,My name is Marcus.,Thank you for calling Global Connect Premium Support. My name is Marcus. To whom,0.257,0.554,Agent,Agent,True,True,False,,✅ CORRECT
center_english,5.06,To whom do I have the pleasure of speaking today?,Thank you for calling Global Connect Premium Support. My name is Marcus. To whom,0.573,0.744,Agent,Agent,True,True,False,,✅ CORRECT
center_english,7.76,"Hi, Marcus.","Hi Marcus, this is Sarah Jenkins. I’m calling because I noticed a double charge ",0.125,0.475,Agent,Customer,False,True,False,,❌ WRONG
center_english,8.98,This is Sarah Jenkins.,"Hi Marcus, this is Sarah Jenkins. I’m calling because I noticed a double charge ",0.257,0.554,Agent,Customer,False,True,False,,❌ WRONG
center_english,10.54,I'm calling because I've noticed a double charge on my credit card statement thi,"Hi Marcus, this is Sarah Jenkins. I’m calling because I noticed a double charge ",0.854,0.869,Agent,Customer,False,True,False,,❌ WRONG
center_english,16.48,"I'm very sorry to hear that, Ms. Jenkins.","I’m very sorry to hear that, Ms. Jenkins. I certainly understand how frustrating",0.319,0.591,Agent,Agent,True,True,False,,✅ CORRECT
center_english,19.2,I certainly understand how frustrating unexpected charges can be.,"I’m very sorry to hear that, Ms. Jenkins. I certainly understand how frustrating",0.473,0.684,Agent,Agent,True,True,False,,✅ CORRECT
center_english,23.48,Let me pull up your account profile.,"I’m very sorry to hear that, Ms. Jenkins. I certainly understand how frustrating",0.008,0.405,Agent,Agent,True,True,False,,✅ CORRECT
center_english,25.56,Could you please verify the last four digits of the card on file?,"I’m very sorry to hear that, Ms. Jenkins. I certainly understand how frustrating",0.211,0.468,Agent,Agent,True,True,False,,✅ CORRECT
center_english,29.06,"Sure, it's 4492.","Sure, it’s 4-4-9-2.",0.857,0.791,Agent,Customer,False,True,False,,❌ WRONG
center_english,33.14,Just a moment while the system refreshes.,Thank you. Just a moment while the system refreshes... (Pause for typing) ...Oka,0.311,0.586,Agent,Agent,True,True,False,,✅ CORRECT
center_english,38.1,"Okay,",Thank you. Just a moment while the system refreshes... (Pause for typing) ...Oka,0.044,0.426,Agent,Agent,True,True,False,,✅ CORRECT
center_english,39.38,I see the two charges are $45.,Thank you. Just a moment while the system refreshes... (Pause for typing) ...Oka,0.174,0.504,Agent,Agent,True,True,False,,✅ CORRECT
center_english,42.44,Looks like the first one was a system-generated renewal and the second was a man,Thank you. Just a moment while the system refreshes... (Pause for typing) ...Oka,0.349,0.61,Agent,Agent,True,True,False,,✅ CORRECT
center_english,49.02,"Oh, that's strange.",,0.0,0.346,Agent,Unknown,False,False,False,,⚠ UNMATCHED
center_english,51.38,I didn't manually trigger anything.,"Oh, that’s strange. I didn't manually trigger anything. Can we get that second o",0.526,0.716,Agent,Customer,False,True,False,,❌ WRONG
center_english,53.98,Can we get that second one refunded today?,"Oh, that’s strange. I didn't manually trigger anything. Can we get that second o",0.6,0.76,Agent,Customer,False,True,False,,❌ WRONG
center_english,57.48,"Well, looking at the logs,","Well, looking at the logs, the request came from your IP address, Ms. Jenkins. O",0.299,0.579,Agent,Agent,True,True,False,,✅ CORRECT
center_english,59.82,"the request came from your IP address, Ms. Jenkins.","Well, looking at the logs, the request came from your IP address, Ms. Jenkins. O",0.513,0.708,Agent,Agent,True,True,False,,✅ CORRECT
center_english,63.34,Our policy generally states that manual overrides are non-refundable.,"Well, looking at the logs, the request came from your IP address, Ms. Jenkins. O",0.636,0.782,Agent,Agent,True,True,False,,✅ CORRECT
center_english,67.8,"Wait,","Well, looking at the logs, the request came from your IP address, Ms. Jenkins. O",0.052,0.431,Agent,Agent,True,True,False,,✅ CORRECT
center_english,68.66,I'm sorry?,"Well, looking at the logs, the request came from your IP address, Ms. Jenkins. O",0.089,0.453,Agent,Agent,True,True,False,,✅ CORRECT
center_english,70.12,I definitely didn't do that.,"Wait, I’m sorry? I definitely didn't do that. I was asleep at 3:00 AM when that ",0.335,0.601,Agent,Customer,False,True,False,,❌ WRONG
center_english,72.08,I was asleep at 3am when that charge went through.,"Wait, I’m sorry? I definitely didn't do that. I was asleep at 3:00 AM when that ",0.529,0.717,Agent,Customer,False,True,False,,❌ WRONG
center_english,75.34,Is there a supervisor I could talk to?,"Wait, I’m sorry? I definitely didn't do that. I was asleep at 3:00 AM when that ",0.429,0.658,Agent,Customer,False,True,False,,❌ WRONG
center_english,78.16,"Look,","Wait, I’m sorry? I definitely didn't do that. I was asleep at 3:00 AM when that ",0.056,0.433,Agent,Customer,False,True,False,,❌ WRONG
center_english,79.3,"Sarah, a supervisor is going to tell you the exact same thing I just did.","(Heavy sigh) Look, Sarah, a supervisor is going to tell you the exact same thing",0.692,0.739,Agent,Agent,True,True,False,,✅ CORRECT
center_english,83.44,You think I'm just making this up for fun?,"(Heavy sigh) Look, Sarah, a supervisor is going to tell you the exact same thing",0.456,0.673,Agent,Agent,True,True,False,,✅ CORRECT
center_english,86.36,Excuse me?,"(Heavy sigh) Look, Sarah, a supervisor is going to tell you the exact same thing",0.108,0.465,Customer,Agent,False,True,False,,❌ WRONG
center_english,87.74,I'm just asking for a correction on a mistake your system made.,Excuse me? I’m just asking for a correction on a mistake your system made. There,0.738,0.545,Customer,Customer,True,True,False,,✅ CORRECT
center_english,91.18,There's no need for that tone.,Excuse me? I’m just asking for a correction on a mistake your system made. There,0.43,0.658,Customer,Customer,True,True,False,,✅ CORRECT
center_english,93.58,My tone?,Excuse me? I’m just asking for a correction on a mistake your system made. There,0.124,0.474,Agent,Customer,False,True,False,,❌ WRONG
center_english,95.72,"Honestly, I'm tired of people calling in and playing dumb about their own mistak","My 'tone'? Honestly, I’m tired of people calling in and playing dumb about their",0.529,0.593,Agent,Agent,True,True,False,,✅ CORRECT
center_english,100.66,It's 45 dollars.,"My 'tone'? Honestly, I’m tired of people calling in and playing dumb about their",0.016,0.41,Agent,Agent,True,True,False,,✅ CORRECT
center_english,102.84,"If you're that desperate for the money, maybe you shouldn't have a premium subsc","My 'tone'? Honestly, I’m tired of people calling in and playing dumb about their",0.287,0.572,Agent,Agent,True,True,False,,✅ CORRECT
center_english,107.6,I do not believe you just said that.,"My 'tone'? Honestly, I’m tired of people calling in and playing dumb about their",0.03,0.418,Agent,Agent,True,True,False,,✅ CORRECT
center_english,109.86,Giving your employee ID number right now.,I cannot believe you just said that. Give me your employee ID number right now.,0.633,0.758,Agent,Customer,False,True,False,,❌ WRONG
center_english,112.96,How about you?,I cannot believe you just said that. Give me your employee ID number right now.,0.151,0.49,Agent,Customer,False,True,False,,❌ WRONG
center_english,114.72,How about you just hang up and stop wasting my time?,How about no? How about you just hang up and stop wasting my time? I’ve got actu,0.578,0.703,Agent,Agent,True,True,False,,✅ CORRECT
center_english,117.88,I've got actual customers with real problems.,How about no? How about you just hang up and stop wasting my time? I’ve got actu,0.509,0.705,Agent,Agent,True,True,False,,✅ CORRECT
center_english,121.04,"Bye, Sarah.",How about no? How about you just hang up and stop wasting my time? I’ve got actu,0.158,0.495,Agent,Agent,True,True,False,,✅ CORRECT
